subscriber_id,subscriber_type,registration_date,age,income,location,is_fraud,IMEI,device_switch_count,fraud_probability,predicted_fraud,classification
1001,prepaid,2023-11-02,39,34685,rural,0,600133890838637,0,0.65425783,1,Fraud
1002,prepaid,2025-04-08,31,20092,urban,0,511615594078161,2,2.3250599e-31,0,Legitimate
1003,postpaid,2025-01-04,41,40519,urban,0,316475255341928,0,7.998091e-26,0,Legitimate
1004,postpaid,2025-10-01,44,28884,rural,0,503056413953767,0,0.0,0,Legitimate
1005,postpaid,2025-05-16,18,19721,urban,0,871012269166978,2,1.3435781e-33,0,Legitimate
1006,prepaid,2025-03-25,27,39927,rural,0,451462704828148,0,1.5524862e-30,0,Legitimate
1007,prepaid,2024-12-05,65,53909,suburban,0,15430391171822,2,4.6770104e-24,0,Legitimate
1008,postpaid,2024-03-26,32,38846,suburban,0,578713315098393,2,4.269999e-09,0,Legitimate
1009,prepaid,2023-12-05,59,13587,rural,0,738299737631165,1,0.01659236,0,Legitimate
1010,prepaid,2025-03-20,26,31952,urban,1,651333872624731,2,3.0586263e-30,0,Legitimate
